directory	hardness	fn	Quality	THRES	HIGHTHRES	NLIM	NLIMHOLES	numWhitePixels	numBlackPixels	ratio	numLargeBlobs	perimeterLength	axisRatio	countLargeHoles	medianLargeHoleAreas	maxLargeHoleAreas	meanDistances	stdDistances	modeDistances	medianDistances	skewnessDistances	erosionslope	frct01	medianEccentricity	medianArea	sumEdgesLow	sumEdgesHigh	areaOverEdgeLow	areaOverEdgeHigh	stdRaw	areaHigh	stdHigh	compactnessCenter	brightnessCenter	blackCoreFraction	intensityKurtosis	intensitySkewness	intensityRatio	skeletonLength	skeletonBranchPoints	skeletonEndPoints	fractalDim	log10Entropy	waveletEntropy	stdRays	lowRays	stdMaxRays	corrGLCM	energyGLCM	meanStd5	meanStd25	ms25over5	ms100over25	numContours
111924_250ppm	250	DSC_0152.jpg	1	70	200	1400	1000	769961	233305	0.303008854	1	5830	1.019311639	16	1579	203452	582.7444594	37.07651359	559.245	580.2810707	0.091033761	0.057146791	21	0.869967972	1534.5	0.071684606	0.088474428	13.94999638	11.30270096	46.19157463	140727	11.40642957	0.297615164	78.79065641	0.008896795	1.945831398	0.158608023	1.123937797	0.09204855	0.007196193	0.0024402	1.913448223	-2.62E-05	2.91E-05	11.22741613	130.5724885	38.01981631	0.975191666	0.90369771	2.35E-06	3.68E-06	1.567655584	1.399643747	0.003270879
111924_250ppm	250	DSC_0153.jpg	1	70	200	1400	1000	883070	329184	0.37277226	2	7566	1.195426135	21	1347	297434	653.1119481	56.04228764	608.25	644.374997	0.432597233	0.078344412	17	0.871303618	875.5	0.099144972	0.0938438	10.08624016	10.65600499	47.99357801	164919	11.62072886	0.135190623	56.71987077	0.015213356	1.877775199	0.189086966	1.169092743	0.111433747	0.010103953	0.003420111	1.89821387	-3.11E-06	2.52E-05	10.79963111	131.2249727	54.292013	0.960755179	0.830343702	2.36E-06	3.77E-06	1.59751108	1.376563838	0.003764372
111924_250ppm	250	DSC_0154.jpg	1	70	200	1400	1000	841559	16723	0.019871453	4	16882	1.257410457	11	1249	2543	482.659697	221.0997913	640.75	517.3533218	0.728786069	0.08461724	17	0.876563919	1285.5	0.10871216	0.100614224	9.198602979	9.938952533	47.81276744	152654	11.16442172	0.429136396	81.63546085	0.00694995	1.84557578	0.163130494	1.064462192	0.12158241	0.012866707	0.004394403	1.899188622	-1.72E-06	2.65E-05	12.43494433	122.1425103	115.0524156	0.96279511	0.855031057	2.47E-06	3.86E-06	1.559049927	1.379928046	0.004683741
111924_250ppm	250	DSC_0155.jpg	1	70	200	1400	1000	813853	1283	0.001576452	1	3857	1.129733783	1	1283	1283	507.2775627	53.68910421	511.3	513.8614371	-0.953376424	0.011891828	71	0.902992429	1546	0.014894903	0.043874001	67.13706086	22.79254158	39.07124884	134165	10.43224573	0.979561626	189.1311064	0.000102173	2.396184883	0.072118506	1.162841318	0.037416595	0.001330297	0.000390613	1.930402984	-3.64E-05	2.75E-05	10.16279397	153.8704275	45.61479492	0.988895805	0.911718977	1.54E-06	2.38E-06	1.539711429	1.518702461	0.001745477
111924_250ppm	250	DSC_0156.jpg	1	70	200	1400	1000	772546	13178	0.017057884	1	3921	1.270036726	8	1507.5	2685	504.8587559	57.33072227	536.5	517.21127	-0.476647697	0.023287934	44	0.831000395	1458	0.027734943	0.054293942	36.05559961	18.4182611	41.82927109	130907	9.396073033	0.957801509	179.1471098	0.000221605	2.057599801	0.062579745	1.16220509	0.054243489	0.002527827	0.00076197	1.96857789	-3.20E-05	2.90E-05	8.738583921	151.081168	55.32648324	0.982944743	0.90985022	1.85E-06	2.80E-06	1.509162546	1.419617895	0.001937914
111924_250ppm	250	DSC_0157.jpg	1	70	200	1400	1000	617985	16793	0.027173799	2	6311	2.110828529	9	1604	4311	618.2270722	431.1451211	479.95	462.0835999	1.538789865	0.041096467	29	0.83957887	2004.5	0.051018052	0.080121388	19.60090538	12.4810619	46.93953644	139790	10.13650834	0.912422815	160.3303918	0.000524839	1.832296983	0.00443526	1.131370916	0.074959664	0.004426873	0.001443861	1.935036905	-3.27E-05	3.62E-05	15.82420763	133.1262453	212.6304134	0.967527092	0.851257932	2.33E-06	3.58E-06	1.537913369	1.44149277	0.002997547
111924_250ppm	250	DSC_0158.jpg	1	70	200	1400	1000	784656	0	0	2	4042	1.094875957	0	0	0	535.4627806	181.8743805	495.85	504.3607808	4.154751189	0.010258636	77	0.775138479	1402.5	0.012671841	0.048742946	78.91513323	20.5157892	40.01304738	151926	10.61979034	0.98331105	190.0649413	8.03E-05	2.251435864	0.192218073	1.263932661	0.035112913	0.001128934	0.000324919	1.946458731	-3.15E-05	2.85E-05	10.31085564	152.7982974	86.53413277	0.987988909	0.913355053	1.64E-06	2.46E-06	1.501092537	1.499342096	0.001954611
111924_250ppm	250	DSC_0159.jpg	1	70	200	1400	1000	672878	56965	0.084658735	3	11372	1.15342552	25	1596	5739	464.6702384	109.4196682	490.25	482.2831401	-0.617512735	0.083112392	44	0.838333514	1139	0.115168096	0.084960579	8.682960268	11.77016465	50.33899973	161324	10.81671463	0.888660746	160.3852863	0.000665716	1.671342039	0.057952473	1.19186409	0.126413833	0.014936275	0.005399311	1.924264529	-1.86E-05	3.31E-05	21.8404654	127.7203026	80.52957981	0.954363831	0.854480412	2.60E-06	3.75E-06	1.444587604	1.370040664	0.005164687
111924_250ppm	250	DSC_0160.jpg	1	70	200	1400	1000	822274	298298	0.36277202	1	8857	1.194451762	26	1501.5	196378	619.0746609	75.14313083	650.7	628.7404893	-0.939799219	0.082095992	16	0.832588283	1153	0.108158606	0.09926846	9.245681275	10.07369305	47.52397339	165209	10.54738069	0.146569357	56.97956179	0.014949344	1.801451098	0.020255008	1.072137422	0.125733443	0.01439754	0.00505056	1.90874246	-1.76E-06	2.71E-05	9.627090151	134.2851637	63.02661332	0.963880412	0.848518266	2.48E-06	3.84E-06	1.550230463	1.382914932	0.005028806
111924_250ppm	250	DSC_0161.jpg	1	70	200	1400	1000	638516	102435	0.160426677	2	6764	1.337022661	23	1680	25015	493.1799855	70.56351616	420.45	492.6780128	0.116913104	0.059691065	24	0.835654812	1224.5	0.079255799	0.081108349	12.61737334	12.32918693	48.63376987	128757	11.21314782	0.676732472	118.6912384	0.002680359	1.845267024	0.179359098	1.144329443	0.088434345	0.006596203	0.002477865	1.909510982	-2.53E-05	3.50E-05	14.31605511	121.8002393	68.6713215	0.971709786	0.905350699	2.48E-06	3.90E-06	1.57306297	1.394887384	0.002822489
