fn	sample	Quality	THRES	HIGHTHRES	NLIM	NLIMHOLES	numWhitePixels	numBlackPixels	ratio	numLargeBlobs	perimeterLength	axisRatio	countLargeHoles	medianLargeHoleAreas	maxLargeHoleAreas	meanDistances	stdDistances	modeDistances	medianDistances	skewnessDistances	erosionslope	frct01	medianEccentricity	medianArea	sumEdgesLow	sumEdgesHigh	areaOverEdgeLow	areaOverEdgeHigh	stdRaw	areaHigh	stdHigh	compactnessCenter	brightnessCenter	blackCoreFraction	intensityKurtosis	intensitySkewness	intensityRatio	skeletonLength	skeletonBranchPoints	skeletonEndPoints	fractalDim	log10Entropy	waveletEntropy	stdRays	lowRays	stdMaxRays	corrGLCM	energyGLCM	meanStd5	meanStd25	ms25over5	ms100over25	numContours
DSC_0305.jpg	200	1	70	200	1400	1000	607937	31043	0.051062857	63	58545	1.122533647	17	1507	3494	468.6511758	198.6055308	487.35	481.2787243	-0.174235079	0.102414888	15	0.857074495	1261.5	0.19484997	0.080654575	5.132153724	12.39855274	60.60325268	323085	12.07038788	0.434827589	97.6648708	0.005742365	1.517709973	-0.218676902	0.835307649	0.117907188	0.007329833	0.00883647	1.82040345	-6.00E-06	2.95E-05	15.64697956	136.93981	94.5728152	0.959166621	0.733963387	3.20E-06	6.43E-06	2.010170868	1.428913315	0.001629439
DSC_0306.jpg	200	1	70	200	1400	1000	478238	5240	0.010956888	73	64490	1.140845185	2	2620	2905	453.995148	174.1760596	517.25	449.5894233	0.054427145	0.119426311	14	0.834293234	1796	0.248328453	0.083264442	4.026924776	12.00992855	62.02859367	276858	11.13535714	0.34197188	85.11414976	0.007681391	1.442282425	-0.165580327	0.722346985	0.141198013	0.010105771	0.013421823	1.800875218	-1.95E-05	3.46E-05	14.06540803	131.6209852	104.0972448	0.968310437	0.875742339	3.71E-06	7.06E-06	1.900514606	1.458445507	0.001931531
DSC_0307.jpg	200	1	70	200	1400	1000	525024	17659	0.033634653	71	67528	1.152499314	6	3076	5752	454.0998031	169.5792722	513.15	452.8512201	0.009395597	0.118435729	16	0.882032956	2287	0.252403138	0.076962811	3.961915876	12.99328846	61.43582132	270992	11.26966205	0.35154727	82.08794252	0.007838807	1.437331437	-0.0556278	0.746637486	0.14983539	0.011916663	0.014941897	1.80903389	-4.01E-06	3.25E-05	17.29137181	122.4278324	109.9089689	0.967177398	0.873826021	3.49E-06	6.39E-06	1.83338517	1.461608036	0.00234909
DSC_0308.jpg	200	1	70	200	1400	1000	506861	15691	0.030957205	74	63673	1.072042654	6	1289	8099	456.0536478	162.7929283	440.75	450.1359724	0.037274814	0.120266898	14	0.863227565	2177	0.245829002	0.094328245	4.067868279	10.60127855	60.9260966	273499	12.0188226	0.34612875	80.59494708	0.008058456	1.503301852	-0.191539504	0.829220604	0.144870652	0.010707797	0.013138373	1.807856911	-1.46E-05	3.45E-05	19.04999013	122.6734494	60.85231236	0.956768192	0.751662125	3.81E-06	7.07E-06	1.855248596	1.412394911	0.002668081
DSC_0309.jpg	200	1	70	200	1400	1000	511328	3351	0.006553523	91	74405	1.120444385	1	3351	3351	453.813104	189.7343773	471.75	445.7474277	0.092077164	0.119378951	14	0.850396912	1450	0.264468073	0.087588844	3.781174751	11.41697908	60.80949936	294085	11.68519061	0.358988236	88.76877159	0.007175234	1.478817942	-0.178781559	0.754745984	0.151441406	0.011548303	0.01580713	1.801564433	-4.98E-05	3.18E-05	14.57293489	133.5104146	94.91615434	0.959247829	0.837703621	3.75E-06	7.07E-06	1.884710061	1.398750797	0.002555865
DSC_0310.jpg	200	1	70	200	1400	1000	522524	9408	0.018004915	84	63213	1.121040591	5	1896	2832	489.5933575	169.8997222	701.55	488.513398	-0.027379824	0.115191647	13	0.854541686	1616.5	0.223402901	0.084380852	4.476217615	11.85102992	61.40484999	281690	12.17741877	0.343270042	82.72241409	0.007883357	1.442885874	-0.089338557	0.761881007	0.126014079	0.00765486	0.010033861	1.827050297	-9.70E-06	3.20E-05	17.64715468	126.5422541	49.60351008	0.956056907	0.711956967	3.49E-06	6.76E-06	1.935721945	1.398369363	0.001390492
DSC_0311.jpg	200	1	70	200	1400	1000	363918	2132	0.005858463	69	43386	1.074283545	1	2132	2132	445.0475079	200.0589861	262.75	430.6941988	0.14419952	0.103925884	16	0.839891214	1564	0.237805204	0.077986803	4.205122439	12.82268239	61.41063302	248557	10.7380303	0.328977838	80.67071977	0.008276707	1.473197157	-0.224614952	0.72444909	0.136958173	0.011725114	0.016560966	1.823506472	-6.24E-05	3.99E-05	15.74749114	130.857389	63.77722626	0.961280061	0.853162189	3.99E-06	7.87E-06	1.970344478	1.42877145	0.001800299
DSC_0312.jpg	200	1	70	200	1400	1000	502818	15286	0.030400662	65	63739	1.081443458	5	3036	6174	477.6585792	158.4697774	448.7	465.5586865	-0.02384854	0.125759619	13	0.869202734	2086	0.248762609	0.098313907	4.019896736	10.171501	61.9755562	284703	11.68440579	0.37274514	86.71924757	0.007182242	1.462428299	-0.20358515	0.790702448	0.14580495	0.010906778	0.01282116	1.828252226	-1.93E-05	3.42E-05	18.64757453	128.0222588	44.51300807	0.954019742	0.752556098	3.83E-06	7.13E-06	1.859929036	1.402920705	0.002105514
DSC_0313.jpg	200	1	70	200	1400	1000	494031	0	0	78	70251	1.097880899	0	0	0	425.8490123	170.2165622	402.9	407.9767545	0.176061311	0.115859936	15	0.828274439	1879	0.246505485	0.074558336	4.056704871	13.41231653	63.85454541	282679	11.39247982	0.373868963	90.26559976	0.006896603	1.399868099	-0.155355435	0.73783765	0.147306089	0.012883754	0.017187522	1.815839747	-1.04E-05	3.43E-05	18.27888768	131.7811532	44.46406191	0.954314111	0.746058132	3.59E-06	6.93E-06	1.929252556	1.419878868	0.002090664
DSC_0314.jpg	200	1	70	200	1400	1000	467495	4186	0.008954106	76	66554	1.100135874	2	2093	2880	428.8119441	178.607843	401.85	406.3247893	0.228394148	0.121029744	14	0.866390802	1855	0.259639977	0.095716266	3.85148701	10.44754508	62.09173786	282457	11.81675801	0.358906617	88.34730434	0.007214359	1.460640927	-0.225327151	0.741085246	0.152222187	0.012619693	0.015739574	1.815423453	-3.19E-05	3.53E-05	15.16691059	134.3768121	70.13750688	0.949981974	0.731891427	3.92E-06	7.40E-06	1.886089435	1.401041769	0.002459997
